Epoch,Loss,Accuracy
1,4.929068565368652,0.0234375
2,4.919180870056152,0.0244140625
3,4.905784606933594,0.013671875
4,4.904292583465576,0.0166015625
5,4.897327423095703,0.0166015625
6,4.902414798736572,0.017578125
7,4.904188632965088,0.017578125
8,4.892769813537598,0.01953125
9,4.895468711853027,0.017578125
10,4.885698318481445,0.017578125
11,4.892891883850098,0.015625
12,4.896219253540039,0.0185546875
13,4.895593643188477,0.01953125
14,4.887388229370117,0.0205078125
15,4.889270305633545,0.017578125
16,4.888053894042969,0.0185546875
17,4.885454177856445,0.0185546875
18,4.892884254455566,0.0146484375
19,4.889368534088135,0.01953125
20,4.894810199737549,0.01953125
21,4.889496326446533,0.0146484375
22,4.893431186676025,0.0185546875
23,4.890949249267578,0.0166015625
24,4.88942813873291,0.017578125
25,4.891321182250977,0.017578125
26,4.892328262329102,0.01953125
27,4.894925117492676,0.0185546875
28,4.886737823486328,0.0185546875
29,4.8877363204956055,0.015625
30,4.8902482986450195,0.021484375
31,4.889327526092529,0.0166015625
32,4.893841743469238,0.0185546875
33,4.887297630310059,0.0185546875
34,4.883164405822754,0.0166015625
35,4.887591361999512,0.0185546875
36,4.882384777069092,0.0205078125
37,4.885924339294434,0.0185546875
38,4.890450477600098,0.0185546875
39,4.8859543800354,0.01953125
40,4.891702651977539,0.0166015625
41,4.887087821960449,0.01953125
42,4.8857903480529785,0.0166015625
43,4.889397621154785,0.021484375
44,4.8922953605651855,0.01953125
45,4.889437198638916,0.01953125
46,4.891375541687012,0.0166015625
47,4.886373519897461,0.021484375
48,4.8909831047058105,0.017578125
49,4.889884948730469,0.0185546875
50,4.884669303894043,0.0166015625
51,4.889410018920898,0.015625
52,4.886727333068848,0.01953125
53,4.8852081298828125,0.01953125
54,4.892086982727051,0.021484375
55,4.892142295837402,0.017578125
56,4.8941802978515625,0.01953125
57,4.892644882202148,0.0185546875
58,4.891984462738037,0.017578125
59,4.890483856201172,0.0185546875
60,4.886978626251221,0.017578125
61,4.889201641082764,0.0185546875
62,4.8844428062438965,0.0185546875
63,4.891518592834473,0.01953125
64,4.885313987731934,0.0166015625
65,4.885638236999512,0.0146484375
66,4.890401363372803,0.0224609375
67,4.885323524475098,0.01953125
68,4.8862528800964355,0.017578125
69,4.889858245849609,0.0166015625
70,4.891330718994141,0.015625
71,4.887330055236816,0.017578125
72,4.889100551605225,0.017578125
73,4.893169403076172,0.01953125
74,4.885924816131592,0.017578125
75,4.887876033782959,0.0166015625
76,4.888501167297363,0.0166015625
77,4.8830084800720215,0.0185546875
78,4.887965679168701,0.017578125
79,4.887923240661621,0.0185546875
80,4.887599468231201,0.0166015625
